test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-02-05,NIFTY 5 FEB 23750 PE,PE,23750,General Buy / Sell,95.0,10:08:00 IST,10:14:00 IST,136.45,135.1,121.45,-0.99,Failure,time_cutoff_6m
2025-02-07,NIFTY 7 FEB 23600 PE,PE,23600,General Buy / Sell,95.0,12:12:00 IST,12:18:00 IST,188.11,184.4,173.11,-1.97,Failure,time_cutoff_6m
2025-02-10,NIFTY 10 FEB 23400 PE,PE,23400,General Buy / Sell,95.0,10:12:00 IST,10:18:00 IST,190.03,180.1,175.03,-5.23,Failure,time_cutoff_6m
2025-02-11,NIFTY 11 FEB 23200 PE,PE,23200,General Buy / Sell,85.0,12:57:00 IST,13:05:00 IST,215.84,205.55,205.55,-4.77,Failure,stop_loss_hit
2025-02-11,NIFTY 11 FEB 23100 PE,PE,23100,General Buy / Sell,85.0,13:18:00 IST,13:24:00 IST,148.77,140.75,133.77,-5.39,Failure,time_cutoff_6m
2025-02-12,NIFTY 12 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,10:48:00 IST,10:50:00 IST,308.61,293.61,293.61,-4.86,Failure,stop_loss_hit
2025-02-13,NIFTY 13 FEB 23200 PE,PE,23200,General Buy / Sell,85.0,12:17:00 IST,12:20:00 IST,404.05,389.05,389.05,-3.71,Failure,stop_loss_hit
2025-02-14,NIFTY 14 FEB 22900 CE,CE,22900,General Buy / Sell,95.0,11:59:00 IST,12:20:00 IST,152.66,222.7,222.7,45.88,Success,stop_loss_hit
2025-02-17,NIFTY 17 FEB 22850 CE,CE,22850,General Buy / Sell,85.0,12:48:00 IST,12:54:00 IST,190.23,179.6,175.23,-5.59,Failure,time_cutoff_6m
2025-02-17,NIFTY 17 FEB 22900 CE,CE,22900,General Buy / Sell,95.0,13:52:00 IST,13:58:00 IST,132.81,131.5,117.81,-0.99,Failure,time_cutoff_6m
2025-02-18,NIFTY 18 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,12:37:00 IST,12:43:00 IST,132.41,131.1,117.41,-0.99,Failure,time_cutoff_6m
2025-02-19,NIFTY 19 FEB 23000 CE,CE,23000,General Buy / Sell,85.0,10:19:00 IST,10:25:00 IST,19.19,15.75,5.4,-17.93,Failure,time_cutoff_6m
2025-02-19,NIFTY 19 FEB 23000 PE,PE,23000,General Buy / Sell,85.0,12:28:00 IST,12:34:00 IST,99.18,89.65,84.18,-9.61,Failure,time_cutoff_6m
2025-02-20,NIFTY 20 FEB 22900 CE,CE,22900,General Buy / Sell,85.0,11:10:00 IST,11:16:00 IST,127.06,127.0,112.06,-0.05,Failure,time_cutoff_6m
2025-02-20,NIFTY 20 FEB 22900 PE,PE,22900,General Buy / Sell,85.0,11:49:00 IST,11:50:00 IST,185.74,170.74,170.74,-8.08,Failure,stop_loss_hit
2025-02-21,NIFTY 21 FEB 22850 PE,PE,22850,General Buy / Sell,85.0,09:45:00 IST,09:57:00 IST,156.75,157.3,146.3,0.35,Success,time_cutoff_12m
2025-02-21,NIFTY 21 FEB 22800 CE,CE,22800,General Buy / Sell,85.0,11:42:00 IST,11:48:00 IST,160.09,158.5,145.09,-0.99,Failure,time_cutoff_6m
2025-02-24,NIFTY 24 FEB 22600 CE,CE,22600,General Buy / Sell,85.0,11:46:00 IST,11:52:00 IST,54.54,54.9,39.9,0.66,Success,time_cutoff_6m
2025-02-24,NIFTY 24 FEB 22550 PE,PE,22550,General Buy / Sell,95.0,13:42:00 IST,13:48:00 IST,50.95,47.2,35.95,-7.36,Failure,time_cutoff_6m
2025-02-25,NIFTY 25 FEB 22550 CE,CE,22550,General Buy / Sell,85.0,12:15:00 IST,12:21:00 IST,90.45,89.55,75.45,-1.0,Failure,time_cutoff_6m
2025-02-28,NIFTY 28 FEB 22250 PE,PE,22250,General Buy / Sell,85.0,11:00:00 IST,11:12:00 IST,111.0,111.4,99.1,0.36,Success,time_cutoff_12m
2025-02-28,NIFTY 28 FEB 22200 PE,PE,22200,General Buy / Sell,95.0,12:41:00 IST,12:47:00 IST,173.06,171.35,158.06,-0.99,Failure,time_cutoff_6m
2025-03-03,NIFTY 3 MAR 22100 CE,CE,22100,General Buy / Sell,95.0,10:30:00 IST,10:36:00 IST,90.5,88.2,75.5,-2.54,Failure,time_cutoff_6m
2025-03-04,NIFTY 4 MAR 22050 PE,PE,22050,General Buy / Sell,95.0,13:05:00 IST,13:11:00 IST,12.78,13.35,-1.65,4.46,Success,time_cutoff_6m
2025-03-05,NIFTY 5 MAR 22300 CE,CE,22300,General Buy / Sell,85.0,11:37:00 IST,12:50:00 IST,132.51,233.2,233.2,75.99,Success,stop_loss_hit
2025-03-06,NIFTY 6 MAR 22400 CE,CE,22400,General Buy / Sell,85.0,12:04:00 IST,12:16:00 IST,251.49,254.9,245.0,1.36,Success,time_cutoff_12m
2025-03-07,NIFTY 7 MAR 22550 PE,PE,22550,General Buy / Sell,95.0,12:04:00 IST,12:35:00 IST,128.62,123.65,123.65,-3.86,Failure,stop_loss_hit
2025-03-07,NIFTY 7 MAR 22550 CE,CE,22550,General Buy / Sell,85.0,12:39:00 IST,13:20:00 IST,144.83,164.5,164.5,13.58,Success,stop_loss_hit
2025-03-10,NIFTY 10 MAR 22600 PE,PE,22600,General Buy / Sell,85.0,12:04:00 IST,12:10:00 IST,192.91,190.0,190.0,-1.51,Failure,stop_loss_hit
2025-03-10,NIFTY 10 MAR 22550 PE,PE,22550,General Buy / Sell,95.0,14:18:00 IST,14:30:00 IST,127.71,128.7,123.4,0.78,Success,time_cutoff_12m
2025-03-13,NIFTY 13 MAR 22500 PE,PE,22500,General Buy / Sell,95.0,10:56:00 IST,11:02:00 IST,95.34,92.35,80.34,-3.14,Failure,time_cutoff_6m
2025-03-13,NIFTY 13 MAR 22450 CE,CE,22450,General Buy / Sell,85.0,12:48:00 IST,12:54:00 IST,1.36,1.4,-13.6,2.94,Success,time_cutoff_6m
2025-03-17,NIFTY 17 MAR 22500 PE,PE,22500,General Buy / Sell,85.0,10:18:00 IST,10:24:00 IST,36.26,35.4,21.26,-2.37,Failure,time_cutoff_6m
2025-03-18,NIFTY 18 MAR 22700 CE,CE,22700,General Buy / Sell,85.0,10:02:00 IST,10:20:00 IST,216.8,241.8,241.8,11.53,Success,stop_loss_hit
2025-03-18,NIFTY 18 MAR 22750 CE,CE,22750,General Buy / Sell,85.0,10:44:00 IST,11:20:00 IST,185.18,184.45,184.45,-0.39,Failure,stop_loss_hit
2025-03-18,NIFTY 18 MAR 22750 PE,PE,22750,General Buy / Sell,85.0,12:29:00 IST,12:35:00 IST,32.42,31.0,17.42,-4.38,Failure,time_cutoff_6m
2025-03-19,NIFTY 19 MAR 22900 PE,PE,22900,General Buy / Sell,85.0,10:54:00 IST,11:00:00 IST,12.62,2.95,-2.38,-76.62,Failure,time_cutoff_6m
2025-03-19,NIFTY 19 MAR 22900 CE,CE,22900,General Buy / Sell,85.0,11:58:00 IST,12:15:00 IST,265.02,266.15,266.15,0.43,Success,stop_loss_hit
2025-03-20,NIFTY 20 MAR 23100 CE,CE,23100,General Buy / Sell,85.0,12:49:00 IST,13:00:00 IST,309.46,321.45,321.45,3.87,Success,stop_loss_hit
2025-03-21,NIFTY 21 MAR 23350 CE,CE,23350,General Buy / Sell,85.0,11:22:00 IST,11:34:00 IST,145.94,148.95,136.4,2.06,Success,time_cutoff_12m
2025-03-24,NIFTY 24 MAR 23600 PE,PE,23600,General Buy / Sell,95.0,11:43:00 IST,11:49:00 IST,71.81,62.05,56.81,-13.59,Failure,time_cutoff_6m
2025-03-26,NIFTY 26 MAR 23650 PE,PE,23650,General Buy / Sell,85.0,11:42:00 IST,11:54:00 IST,54.84,53.8,46.4,-1.9,Failure,time_cutoff_12m
2025-03-27,NIFTY 27 MAR 23600 PE,PE,23600,General Buy / Sell,85.0,12:32:00 IST,12:38:00 IST,173.67,171.95,158.67,-0.99,Failure,time_cutoff_6m
2025-03-28,NIFTY 28 MAR 23600 CE,CE,23600,General Buy / Sell,85.0,10:42:00 IST,10:48:00 IST,146.35,144.7,131.35,-1.13,Failure,time_cutoff_6m
2025-03-28,NIFTY 28 MAR 23600 PE,PE,23600,General Buy / Sell,95.0,11:09:00 IST,11:15:00 IST,130.29,126.3,115.29,-3.06,Failure,time_cutoff_6m
