start_Time_IST,open,high,low,close,volume
2026-05-22 10:32:00+05:30,23765.85,23770.8,23762.2,23769.8,843455.0
2026-05-22 10:33:00+05:30,23769.8,23781.05,23769.8,23777.55,907925.0
2026-05-22 10:34:00+05:30,23779.35,23786.6,23778.1,23778.15,833047.0
2026-05-22 10:35:00+05:30,23778.3,23782.6,23774.95,23782.1,913753.0
2026-05-22 10:36:00+05:30,23780.5,23782.4,23778.0,23780.05,834012.0
2026-05-22 10:37:00+05:30,23780.1,23780.2,23766.15,23767.55,865867.0
2026-05-22 10:38:00+05:30,23767.55,23770.3,23765.4,23768.8,725242.0
2026-05-22 10:39:00+05:30,23769.1,23773.05,23766.6,23773.05,485812.0
2026-05-22 10:40:00+05:30,23773.75,23782.8,23773.75,23782.2,769337.0
2026-05-22 10:41:00+05:30,23782.9,23790.1,23776.9,23777.65,870934.0
2026-05-22 10:42:00+05:30,23777.6,23787.1,23775.75,23786.4,727213.0
2026-05-22 10:43:00+05:30,23785.6,23793.45,23785.25,23791.15,627065.0
2026-05-22 10:44:00+05:30,23791.3,23795.15,23789.05,23792.7,647743.0
2026-05-22 10:45:00+05:30,23793.0,23796.4,23786.65,23786.65,501503.0
2026-05-22 10:46:00+05:30,23787.05,23793.9,23785.5,23792.75,750963.0
2026-05-22 10:47:00+05:30,23792.75,23797.85,23790.95,23795.7,1053466.0
2026-05-22 10:48:00+05:30,23796.55,23797.55,23781.45,23781.65,675245.0
2026-05-22 10:49:00+05:30,23781.5,23784.05,23775.1,23783.9,1174773.0
2026-05-22 10:50:00+05:30,23784.3,23785.2,23775.45,23776.3,617645.0
2026-05-22 10:51:00+05:30,23776.3,23785.15,23776.3,23782.3,727024.0
2026-05-22 10:52:00+05:30,23782.3,23785.95,23778.35,23784.85,711673.0
2026-05-22 10:53:00+05:30,23784.85,23787.5,23780.35,23784.7,636444.0
2026-05-22 10:54:00+05:30,23784.35,23789.55,23783.9,23785.6,703915.0
2026-05-22 10:55:00+05:30,23785.6,23786.45,23779.2,23779.2,484191.0
2026-05-22 10:56:00+05:30,23779.8,23784.65,23776.45,23783.1,613070.0
2026-05-22 10:57:00+05:30,23783.9,23785.1,23777.5,23779.45,871912.0
2026-05-22 10:58:00+05:30,23779.9,23785.05,23778.15,23781.6,526793.0
2026-05-22 10:59:00+05:30,23781.75,23783.65,23777.45,23780.75,915889.0
2026-05-22 11:00:00+05:30,23781.2,23782.55,23776.8,23779.85,905202.0
2026-05-22 11:01:00+05:30,23780.15,23781.9,23777.3,23779.0,549515.0
2026-05-22 11:02:00+05:30,23779.1,23780.3,23774.5,23775.15,680871.0
2026-05-22 11:03:00+05:30,23775.2,23777.0,23771.45,23773.45,867699.0
2026-05-22 11:04:00+05:30,23773.35,23779.4,23773.35,23777.6,862505.0
2026-05-22 11:05:00+05:30,23777.6,23782.5,23777.6,23778.7,709481.0
2026-05-22 11:06:00+05:30,23778.05,23780.05,23775.2,23778.95,883609.0
2026-05-22 11:07:00+05:30,23778.85,23779.8,23770.9,23771.8,511672.0
2026-05-22 11:08:00+05:30,23771.5,23776.45,23770.8,23771.65,609619.0
2026-05-22 11:09:00+05:30,23772.6,23776.2,23769.5,23775.05,614057.0
2026-05-22 11:10:00+05:30,23774.7,23777.75,23774.25,23776.75,518380.0
2026-05-22 11:11:00+05:30,23776.6,23779.1,23773.85,23777.85,512264.0
2026-05-22 11:12:00+05:30,23778.4,23779.15,23767.75,23767.75,659584.0
2026-05-22 11:13:00+05:30,23767.85,23771.4,23765.95,23770.6,761475.0
2026-05-22 11:14:00+05:30,23770.45,23774.6,23768.35,23771.6,729191.0
2026-05-22 11:15:00+05:30,23772.45,23773.35,23767.65,23769.8,572155.0
2026-05-22 11:16:00+05:30,23769.65,23774.65,23769.1,23770.2,1007186.0
2026-05-22 11:17:00+05:30,23770.0,23772.1,23766.45,23767.1,488175.0
