test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-01-07,NIFTY 7 JAN 23750 PE,PE,23750,General Buy / Sell,95.0,12:04:00 IST,12:10:00 IST,56.26,56.825,43.04,1.0,Success,time_cutoff_6m
2025-01-10,NIFTY 10 JAN 23450 CE,CE,23450,General Buy / Sell,85.0,10:53:00 IST,10:59:00 IST,52.02,51.0,37.02,-1.96,Failure,time_cutoff_6m
2025-01-10,NIFTY 10 JAN 23550 CE,CE,23550,General Buy / Sell,85.0,11:22:00 IST,11:28:00 IST,49.39,49.1125,34.39,-0.56,Failure,time_cutoff_6m
2025-01-13,NIFTY 13 JAN 23300 CE,CE,23300,General Buy / Sell,85.0,10:32:00 IST,10:38:00 IST,13.75,13.325,-1.25,-3.09,Failure,time_cutoff_6m
2025-01-13,NIFTY 13 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,11:33:00 IST,11:39:00 IST,23.36,24.45,9.45,4.67,Success,time_cutoff_6m
2025-01-13,NIFTY 13 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,12:59:00 IST,13:11:00 IST,22.21,23.6125,10.0,6.31,Success,time_cutoff_12m
2025-01-14,NIFTY 14 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,11:13:00 IST,11:19:00 IST,17.16,17.15,2.16,-0.06,Failure,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,11:47:00 IST,11:53:00 IST,12.98,13.1625,-1.84,1.41,Success,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,13:02:00 IST,13:08:00 IST,6.7,7.3375,-7.66,9.51,Success,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,13:19:00 IST,13:25:00 IST,0.4,0.2875,-14.6,-28.13,Failure,time_cutoff_6m
2025-01-16,NIFTY 16 JAN 23300 CE,CE,23300,General Buy / Sell,85.0,11:45:00 IST,11:51:00 IST,31.32,30.2875,16.32,-3.3,Failure,time_cutoff_6m
2025-01-16,NIFTY 16 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,14:23:00 IST,14:29:00 IST,53.78,51.5125,38.78,-4.22,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,12:42:00 IST,12:48:00 IST,60.49,57.0,45.49,-5.77,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,13:30:00 IST,13:36:00 IST,45.48,43.2875,30.48,-4.82,Failure,time_cutoff_6m
2025-01-20,NIFTY 20 JAN 23350 PE,PE,23350,General Buy / Sell,95.0,12:10:00 IST,13:00:00 IST,41.02,55.06,55.06,34.23,Success,stop_loss_hit
2025-01-20,NIFTY 20 JAN 23350 CE,CE,23350,General Buy / Sell,85.0,13:21:00 IST,13:45:00 IST,18.99,25.325,12.11,33.36,Success,time_cutoff_24m
2025-01-21,NIFTY 21 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,10:07:00 IST,10:13:00 IST,51.16,47.1125,36.16,-7.91,Failure,time_cutoff_6m
2025-01-21,NIFTY 21 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,11:12:00 IST,11:24:00 IST,25.68,29.5375,14.54,15.02,Success,time_cutoff_12m
