trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-15_145,2026-05-15 11:40:00 IST,BUY PE,NIFTY 15 MAY 23700 PE,PE,157.6,141.84,,,,26.07,48.17,RED,RED
2026-05-15_145,2026-05-15 12:00:00 IST,SL HIT,NIFTY 15 MAY 23700 PE,PE,142.4,150.43,-15.2,-9.64,FAILURE,51.68,55.78,RED,GREEN
2026-05-15_225,2026-05-15 13:00:00 IST,BUY CE,NIFTY 15 MAY 23800 CE,CE,147.15,132.44,,,,63.7,61.38,GREEN,GREEN
2026-05-15_225,2026-05-15 13:30:00 IST,SL HIT,NIFTY 15 MAY 23800 CE,CE,136.2,144.35,-10.95,-7.44,FAILURE,50.44,50.74,GREEN,RED
,,,,,,,,,,,,,
SUMMARY,2026-05-15,Total trades: 3,SUCCESS: 1,FAILURE: 2,Win %: 33.33,Failure %: 66.67,BREAKEVEN: 0,Avg PnL %: -4.41,Win 33.33% | Fail 66.67%,,,,
2026-05-18_80,2026-05-18 10:35:00 IST,BUY CE,NIFTY 18 MAY 23800 CE,CE,28.05,25.25,,,,61.09,64.73,GREEN,GREEN
2026-05-18_80,2026-05-18 10:50:00 IST,SL HIT,NIFTY 18 MAY 23800 CE,CE,31.95,32.4,3.9,13.9,SUCCESS,59.43,45.25,GREEN,GREEN
2026-05-18_125,2026-05-18 11:20:00 IST,BUY CE,NIFTY 18 MAY 23700 CE,CE,55.35,49.82,,,,72.67,68.06,GREEN,GREEN
2026-05-18_125,2026-05-18 12:00:00 IST,SL HIT,NIFTY 18 MAY 23700 CE,CE,75.3,75.95,19.95,36.04,SUCCESS,46.57,13.73,RED,RED
2026-05-18_192,2026-05-18 12:27:00 IST,BUY CE,NIFTY 18 MAY 23750 CE,CE,32.2,28.98,,,,56.54,79.05,GREEN,GREEN
2026-05-18_192,2026-05-18 12:35:00 IST,SL HIT,NIFTY 18 MAY 23750 CE,CE,31.35,34.06,-0.85,-2.64,FAILURE,74.62,95.32,GREEN,GREEN
,,,,,,,,,,,,,
SUMMARY,18-05-2026,Total trades: 3,SUCCESS: 2,FAILURE: 1,Win %: 66.67,Failure %: 33.33,BREAKEVEN: 0,Avg PnL %: 15.77,Win 66.67% | Fail 33.33%,,,,
2026-05-19_75,2026-05-19 10:30:00 IST,BUY CE,NIFTY 19 MAY 23500 CE,CE,230.75,207.68,,,,56.06,44.51,GREEN,GREEN
2026-05-19_75,2026-05-19 10:45:00 IST,SL HIT,NIFTY 19 MAY 23500 CE,CE,237.0,245.1,6.25,2.71,SUCCESS,71.96,56.5,GREEN,GREEN
2026-05-19_111,2026-05-19 11:06:00 IST,BUY CE,NIFTY 19 MAY 23600 CE,CE,201.55,181.4,,,,55.25,45.43,GREEN,GREEN
2026-05-19_111,2026-05-19 11:15:00 IST,SELL (EMA9_CROSSED_BELOW_EMA20),NIFTY 19 MAY 23600 CE,CE,195.9,195.6,-5.65,-2.8,FAILURE,40.82,17.51,GREEN,RED
