bar_index,start_Time_IST,strike,spot,close,iv,volume,oi
107,2026-05-19 11:55:00 IST,23750.0,23754.65,43.8,15.560903,19710275,20679685
108,2026-05-19 12:00:00 IST,23750.0,23741.4,49.0,15.168613,26681395,19985550
109,2026-05-19 12:05:00 IST,23750.0,23741.45,45.75,14.162608,13379210,19961955
110,2026-05-19 12:10:00 IST,23750.0,23743.05,44.35,14.035613,9013550,20017140
111,2026-05-19 12:15:00 IST,23750.0,23744.55,45.25,14.659874,19010680,19273345
112,2026-05-19 12:20:00 IST,23750.0,23733.6,50.55,14.554293,19733350,19599125
113,2026-05-19 12:25:00 IST,23750.0,23752.4,42.15,15.064835,20823855,18522010
114,2026-05-19 12:30:00 IST,23750.0,23736.0,46.05,13.596319,15189655,19284850
115,2026-05-19 12:35:00 IST,23750.0,23740.7,42.95,13.461477,18412615,18855655
116,2026-05-19 12:40:00 IST,23750.0,23738.05,45.15,13.797296,11360180,19472505
117,2026-05-19 12:45:00 IST,23750.0,23727.6,47.3,12.560349,14944345,19174610
118,2026-05-19 12:50:00 IST,23750.0,23728.45,47.6,12.903634,20775235,18870540
119,2026-05-19 12:55:00 IST,23700.0,23723.9,27.1,13.55401,11743875,37956945
120,2026-05-19 13:00:00 IST,23700.0,23713.35,32.25,13.898448,28106585,38958465
121,2026-05-19 13:05:00 IST,23700.0,23724.75,23.35,12.430924,40711970,38200760
122,2026-05-19 13:10:00 IST,23700.0,23708.35,30.15,12.488776,33739810,38097345
123,2026-05-19 13:15:00 IST,23750.0,23728.9,43.25,11.731391,33628205,17613960
124,2026-05-19 13:20:00 IST,23750.0,23732.85,39.9,11.406094,16130205,18015400
125,2026-05-19 13:25:00 IST,23700.0,23724.85,18.75,10.951531,13371410,41258880
126,2026-05-19 13:30:00 IST,23750.0,23730.9,36.85,9.966046,20431905,19149390
127,2026-05-19 13:35:00 IST,23700.0,23709.15,27.8,12.086491,82082130,33828015
128,2026-05-19 13:40:00 IST,23700.0,23696.85,32.9,11.876953,42536910,35119240
129,2026-05-19 13:45:00 IST,23700.0,23704.5,24.8,10.316593,43631965,36300810
130,2026-05-19 13:50:00 IST,23700.0,23699.55,31.25,11.894502,39404365,37280750
131,2026-05-19 13:55:00 IST,23700.0,23689.1,38.15,12.520225,65626795,31636215
132,2026-05-19 14:00:00 IST,23700.0,23714.9,17.65,9.464108,62005645,37074830
133,2026-05-19 14:05:00 IST,23700.0,23705.35,18.3,8.220529,45460610,42625310
134,2026-05-19 14:10:00 IST,23700.0,23717.35,13.3,8.205865,69156100,42890250
135,2026-05-19 14:15:00 IST,23700.0,23716.2,10.85,7.080148,50854505,46297355
136,2026-05-19 14:20:00 IST,23700.0,23710.15,15.95,8.250241,75837580,46111065
137,2026-05-19 14:25:00 IST,23700.0,23703.15,16.2,7.20264,64629825,46447505
138,2026-05-19 14:30:00 IST,23700.0,23701.2,18.4,7.750727,87858095,43071145
139,2026-05-19 14:35:00 IST,23700.0,23682.0,24.2,5.760203,93816710,36892830
140,2026-05-19 14:40:00 IST,23650.0,23657.2,18.95,9.173907,140293140,27538160
141,2026-05-19 14:45:00 IST,23650.0,23653.0,17.25,7.786934,129524590,28231385
142,2026-05-19 14:50:00 IST,23650.0,23647.25,14.45,5.586706,113881625,34552050
143,2026-05-19 14:55:00 IST,23650.0,23655.15,13.7,6.831204,104641420,34427965
144,2026-05-19 15:00:00 IST,23650.0,23632.35,25.3,6.531763,167421930,26136370
145,2026-05-19 15:05:00 IST,23650.0,23625.6,22.95,1.949177,98560800,24537240
146,2026-05-19 15:10:00 IST,23600.0,23624.4,0.1,2.112738,109988645,44851430
147,2026-05-19 15:15:00 IST,23600.0,23609.05,0.1,1.011048,42973320,41289105
148,2026-05-19 15:20:00 IST,23600.0,23597.0,0.05,0.0,32235450,38579190
149,2026-05-19 15:25:00 IST,23600.0,23606.2,0.05,0.696841,23565490,27107860
